,Estimated Earnings,Actual Earnings,Evenly Weighted Avg,Transaction Costs,Strategy Portfolio Growth,Avg Mean Portfolio Growth,Percentage Growth Difference,Strategy Annual Return,Avg Mean Annual Return,Annual Return Diference
2018-01-29,0.008808985957575581,-0.06980127065731162,-0.00022764487698828656,0.0008,0.7903567155119513,0.9997514279799414,-0.2094467750759655,-0.23308898750483228,-0.0006072556713018661,-0.2324817318335304
2018-01-30,0.009717014412492182,-0.07002012988488263,-0.00017587513404262003,0.0008,0.7350158356364153,0.9995755965635362,-0.26467208867108905,-0.18402358797318402,-0.00048525759942223413,-0.1835383303737618
2018-01-31,0.009403345496331145,-0.015872723870648246,-0.00010768672541622641,0.0008,0.7233491322368047,0.9994679555407363,-0.27626580899689235,-0.23047936805942934,-0.0004993710756224709,-0.22997999698380686
2018-02-01,0.009237956658682692,-0.059381493144565034,-0.0001576197273697319,0.0008,0.6803955806997578,0.9993104196740692,-0.3191349081282744,-0.19683994892777212,-0.000442656019664745,-0.19639729290810737
2018-02-02,0.009023447866084612,-0.04032633034061784,-0.00014934671216911103,0.0008,0.6529577237501629,0.9991611759484545,-0.3464940997829081,-0.20565022322857598,-0.00038064994173871305,-0.20526957328683726
2018-02-05,0.01029292440416955,-0.07808986823799388,-0.00011936022298521395,0.0008,0.6019683411375323,0.9990419158476952,-0.39745436944279033,-0.1336411510884105,-0.000279601961073014,-0.13336154912733747
2018-02-06,0.010546198003552755,-0.01029471259782547,1.5141504178009003e-05,0.0008,0.5957712500725316,0.999057042845038,-0.40366643292364973,-0.15487883851818357,-0.0003246000616416964,-0.15455423845654187
2018-02-07,0.011278191147680182,0.04926816272204466,3.213963308801192e-05,0.0008,0.625123804966221,0.999089152171829,-0.37430628327079596,-0.2265097753134957,-0.00042173913685125024,-0.22608803617664444
2018-02-08,0.008346958483011705,-0.0002747115264875099,3.14823775133784e-05,0.0008,0.624952076251515,0.9991206058736872,-0.3744978608413127,-0.27558079442899425,-0.000543072424024023,-0.27503772200497023
2018-02-09,0.010833959281592715,0.032054213393961924,5.454231925102853e-05,0.0008,0.6449844234646807,0.9991751002287431,-0.3544830897837395,-0.3106207258746112,-0.0006636493608799429,-0.3099570765137313
2018-02-13,0.008824349103300213,-0.009240247246996238,3.746388658197112e-05,0.0008,0.6390246079214057,0.9992125332113735,-0.3604717848487731,-0.326152211763024,-0.0007500286964780149,-0.325402183066546
2018-02-14,0.011042526282769723,-0.009605418661543907,-9.388908364020767e-06,0.0008,0.6328865090272916,0.999203151696463,-0.3666087742489935,-0.31106805652440694,-0.0007315874413797814,-0.31033646908302714
2018-02-15,0.009591075275128988,-0.04227178130686329,-5.887535578188859e-05,0.0008,0.6061332689256258,0.9991443232554085,-0.3933476327516684,-0.27158137621228806,-0.0006288806462700595,-0.270952495566018
2018-02-16,0.009787774132880516,-0.010521918045244837,-5.382440259126418e-05,0.0008,0.599755584345494,0.9990905449091068,-0.3996984683704945,-0.28811781521272173,-0.0006589558373343458,-0.2874588593753874
2018-02-19,0.00897690883122555,-0.07190179486202665,-0.00012180553304118072,0.0008,0.5566320813525294,0.9989688501527277,-0.44279335510068357,-0.2391263994910356,-0.0005947808178644727,-0.23853161867317113
2018-02-20,0.00919340969121575,-0.01826256938639459,-0.00010088527928130156,0.0008,0.5464665493441356,0.9988680689012868,-0.45291418721070337,-0.20844593117220198,-0.0004900942350208625,-0.20795583693718112
2018-02-21,0.009998809091369121,-0.050853482752731216,-8.732243922910762e-05,0.0008,0.5186768221021191,0.9987808453050422,-0.4806900587448615,-0.15288471487764585,-0.0004139985862260033,-0.15247071629141984
